"Dataset Name","Dataset Description","Source Website","Direct Download Link","Dataset URL","License","Number of Samples","Number of Features","File Format","Target Variable","Task Type","Machine Type","Industry","Sensor Types","Suitable ML Algorithms","Deep Learning Suitability","LLM Suitability","Time-Series Availability","Image Availability","Audio Availability","Video Availability","Recommended FactoryOS Module","Data Quality Score (/10)","Popularity Score (/10)","Production Readiness Score (/10)","Recommended Usage"
"NASA Turbofan Engine Degradation (C-MAPSS)","Run-to-failure simulation telemetry for aircraft turbofan engines under varying altitude and operational conditions.","NASA Open Data","https://ti.arc.nasa.gov/c/6/","https://ti.arc.nasa.gov/tech/dash/groups/paf/prognostic-data-repository/","Public Domain","137529","26","TXT/CSV","Remaining Useful Life (RUL) in cycles","Regression","Turbofan Engine","Aerospace & Power Generation","Pressure, Temperature, Fan Speed, Fuel Flow","XGBoost, Random Forest, LightGBM","High (LSTM, 1D-CNN, Transformer)","Medium (RAG for engine failure context)","Yes","No","No","No","Predictive Maintenance (RUL Engine)","9.5","10.0","9.5","Benchmark model for remaining useful life estimation and degradation curve modeling."
"NASA IMS Bearing Dataset","Vibration acceleration signals collected continuously from 4 bearings running to catastrophic failure.","Kaggle / NASA","https://www.kaggle.com/datasets/vinayak123tyagi/bearing-dataset-nasa/download","https://www.kaggle.com/datasets/vinayak123tyagi/bearing-dataset-nasa","CC0 Public Domain","2156","4-8","CSV/ASCII","Bearing Failure / Health Degradation","Anomaly Detection / Classification","Rolling Element Bearings","Industrial Rotating Machinery","High-Frequency Accelerometer","Isolation Forest, One-Class SVM","High (1D-CNN, Autoencoders, ResNet)","Low","Yes","No","No","No","Predictive Maintenance (Vibration Analysis)","9.0","9.5","9.0","Train vibration anomaly detection and spectral harmonic degradation classifiers."
"CWRU Bearing Fault Dataset","Standard benchmark dataset containing vibration signals for ball, inner race, and outer race bearing defects under varying loads.","CWRU Bearing Center","https://engineering.case.edu/bearingdatacenter/download-data","https://engineering.case.edu/bearingdatacenter","Open Data","1200","12k / 48k Hz","MAT/CSV","Fault Type (Inner Race, Outer Race, Ball, Normal)","Multi-class Classification","Drive & Fan End Bearings","Motors & Power Transmission","Drive End Accelerometer, Fan End Accelerometer","Random Forest, SVM, XGBoost","High (CNN, STFT Spectrogram CNN)","Low","Yes","No","No","No","Predictive Maintenance (Fault Diagnosis)","9.8","10.0","9.8","Gold-standard benchmark for bearing fault classification and harmonic FFT feature extraction."
"AI4I 2020 Predictive Maintenance Dataset","Synthetic manufacturing machine telemetry reflecting real industrial milling press operational parameters and 5 failure modes.","UCI Machine Learning Repository","https://archive.ics.uci.edu/ml/machine-learning-databases/00601/ai4i2020.csv","https://archive.ics.uci.edu/ml/datasets/AI4I+2020+Predictive+Maintenance+Dataset","CC BY 4.0","10000","14","CSV","Machine Failure (Binary) & Failure Mode (TWF, HDF, PWF, OSF, RNF)","Classification","CNC Milling Machine","Machining & Discrete Manufacturing","Air Temp, Process Temp, Rotational Speed, Torque, Tool Wear","XGBoost, LightGBM, CatBoost, Logistic Regression","Medium (MLP)","Medium (Feature reasoning)","No","No","No","No","Predictive Maintenance & Operations","9.2","9.0","9.5","Train baseline binary and multi-class failure prediction models with tabular telemetry."
"Bosch Production Line Performance","Massive industrial assembly line dataset containing anonymous sensor measurements and quality pass/fail indicators.","Kaggle","https://www.kaggle.com/c/bosch-production-line-performance/data","https://www.kaggle.com/c/bosch-production-line-performance","Kaggle Competition License","1183747","4680","CSV","Response (0: Pass, 1: Defect)","Binary Classification","Assembly Line Stations","Automotive & High-Volume Manufacturing","Station Telemetry, Test Bench Sensors, Time Stamps","LightGBM, XGBoost, CatBoost","High (Deep Tabular Nets, TabNet)","Low","Yes","No","No","No","Quality Control & Yield Intelligence","8.8","9.2","8.5","Train high-scale imbalanced defect prediction and assembly line bottleneck models."
"NEU Steel Surface Defect Database (NEU-DET)","Surface inspection dataset containing 6 types of typical steel belt surface defects with bounding box annotations.","Northeastern University / GitHub","https://github.com/northeast-university/NEU-DET/archive/master.zip","https://github.com/northeast-university/NEU-DET","Open Research","1800","6 Defect Classes","BMP/XML","Defect Class & Bounding Box (Crazing, Inclusion, Patches, Pitted Surface, Rolled-in Scale, Scratches)","Object Detection & Classification","Steel Rolling Mill / Strip Lines","Metal Fabrication & Steel Industry","High-Resolution Grayscale Camera","N/A","High (YOLOv8, Faster R-CNN, EfficientDet)","Low","No","Yes","No","No","Quality Control (Computer Vision)","9.5","9.0","9.2","Train edge AI vision inspection models for real-time steel surface defect detection."
"MIMII Industrial Sound Dataset","Audio dataset recorded from industrial machines (pumps, fans, valves, slide rails) operating normally and under faulty conditions.","Zenodo / Real-world Acoustic","https://zenodo.org/record/3384388/files/pump.zip","https://zenodo.org/record/3384388","CC BY 4.0","26000","10-sec WAV Audio","WAV","Machine Condition (Normal / Abnormal)","Acoustic Anomaly Detection","Pumps, Fans, Valves, Slide Rails","Process Industries & Fluid Handling","8-Channel Microphone Array (16 kHz)","GMM-UBM, One-Class SVM","High (Mel-Spectrogram CNN, CRNN, Conformer)","Low","Yes","No","Yes","No","Machine Health Monitoring (Acoustic AI)","9.4","8.8","9.0","Train acoustic anomaly detection models for non-contact noise inspection on rotating equipment."
"MVTec Anomaly Detection (MVTec AD)","Comprehensive benchmark dataset for industrial optical inspection containing 15 object and texture categories with pixel-precise ground truth.","MVTec Software GmbH","https://www.mvtec.com/company/research/datasets/mvtec-ad","https://www.mvtec.com/company/research/datasets/mvtec-ad","CC BY-NC-SA 4.0","5354","15 Product Classes","PNG","Pixel-level Anomaly Mask & Defect Category","Unsupervised Anomaly Segmentation","PCB, Nut, Capsule, Cable, Metal Surface, Bottle","Electronics, Metalwork, Packaging","High-Resolution Color RGB Camera","N/A","High (PaDiM, PatchCore, Reverse Distillation, SegFormer)","Low","No","Yes","No","No","Quality Control (AI Vision Inspection)","9.8","9.8","9.5","Benchmark unsupervised zero-shot visual defect segmentation on manufactured components."
"Tennessee Eastman Process (TEP) Benchmark","Simulated industrial chemical process control dataset featuring 52 process variables and 21 distinct process faults.","OpenML / IEEE DataPort","https://github.com/camlab-ethz/tep-data/archive/refs/heads/main.zip","https://github.com/camlab-ethz/tep-data","Open Source","520000","52","CSV/RData","Fault Code (0: Normal, 1-21: Process Faults)","Fault Detection & Diagnosis","Reactor, Condenser, Compressor, Stripper","Chemical Processing & Process Automation","Flow Rate, Pressure, Temperature, Liquid Level, Concentration","Random Forest, XGBoost, PLS-DA","High (LSTM-Autoencoders, Temporal ConvNet)","Medium (LLM Process Copilot)","Yes","No","No","No","SCADA & Process Optimization","9.6","9.4","9.2","Train multi-variable SCADA fault diagnosis and process loop stability models."
"SECOM Semiconductor Manufacturing Dataset","Semiconductor wafer manufacturing sensor signals captured from cleanroom production lines with binary yield quality labels.","UCI Machine Learning Repository","https://archive.ics.uci.edu/ml/machine-learning-databases/secom/secom.data","https://archive.ics.uci.edu/ml/datasets/SECOM","Public Domain","1567","591","CSV","Yield Status (-1: Pass, 1: Fail)","Yield Classification","Wafer Fab Etch / Deposition Chambers","Semiconductor Fabrication","Cleanroom Sensor Array (Pressure, Temp, Gas Flow, RF Power)","XGBoost, Lasso, Boruta + LightGBM","High (TabNet, Autoencoders)","Low","No","No","No","No","Quality Control & Semiconductor Fab","8.5","8.7","8.2","Train high-dimensional feature selection and wafer yield failure prediction models."
