Machine_ID,Timestamp_UTC,Process_Temperature_C,Vibration_Harmonic_mm_s,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Mins,Defect_Flag,Defect_Category
WLD-01,2026-08-28T06:00:00Z,42.5,1.12,2850,38.2,14,0,None
WLD-01,2026-08-28T06:05:00Z,43.1,1.15,2845,38.5,19,0,None
WLD-02,2026-08-28T06:00:00Z,58.4,2.45,3100,52.1,142,0,None
WLD-02,2026-08-28T06:05:00Z,61.2,2.80,3090,54.8,147,0,None
WLD-03,2026-08-28T06:00:00Z,74.8,4.85,3450,78.2,215,1,HDF
WLD-03,2026-08-28T06:05:00Z,79.2,5.60,3420,82.4,220,1,HDF
CNC-04,2026-08-28T06:00:00Z,48.0,1.85,4200,45.0,88,0,None
CNC-04,2026-08-28T06:05:00Z,51.2,3.95,4180,68.4,195,1,TWF
BAT-02,2026-08-28T06:00:00Z,38.2,0.95,1500,24.5,42,0,None
BAT-02,2026-08-28T06:05:00Z,38.5,0.98,1500,24.8,47,0,None
PNT-05,2026-08-28T06:00:00Z,41.0,1.05,1800,29.0,60,0,None
PNT-05,2026-08-28T06:05:00Z,46.5,4.10,1790,62.0,210,1,PWF
STP-01,2026-08-28T06:00:00Z,65.0,3.20,1200,110.5,180,0,None
STP-01,2026-08-28T06:05:00Z,72.4,6.40,1180,145.0,240,1,OSF
